proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x73925024fde7bd18099a4343fbc980f5ba6ec69e,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,1000.0,0.001,2026-01-03 12:13:39+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,pudrecolchon,Creative-Pomegranate,,,,0x4b22e8156da87c0387e19358d0f260a2ef40d3abad2c28082163723e643e27a6
0x56dae0074d882359dae2b818146fc0d31a599294,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,148090.0,0.001,2026-01-03 12:13:01+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,OGRev,Waterlogged-Webmail,,,,0x0256b245f7274d4e14786483650af7fbcdf05659b34f3e53b7c7c2859ed342b4
0x56dae0074d882359dae2b818146fc0d31a599294,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,100000.0,0.001,2026-01-03 12:12:25+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,OGRev,Waterlogged-Webmail,,,,0xdfbac5e3017e8a4fa31d31b8ee41c43a4e19b32a0619315099caa7e8e1c28de9
0x56dae0074d882359dae2b818146fc0d31a599294,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,100000.0,0.001,2026-01-03 12:11:51+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,OGRev,Waterlogged-Webmail,,,,0x998e0692af0eaf9a48bab2a09ab5d49628183810f82f5f8ec7a3cabaeb911381
0x56dae0074d882359dae2b818146fc0d31a599294,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,100000.0,0.001,2026-01-03 12:11:43+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,OGRev,Waterlogged-Webmail,,,,0x751a6e0c0b95b044109edcab7ba326e8745a63012e1e75ae2af57de527c07da5
0x86d3cdddbaa6fec3c760bb107d24a4dda03c6887,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,10000.0,0.001,2026-01-03 12:10:23+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,dashen1hao,Putrid-Saloon,,,,0x26f7453c8282bfa925cabd7e247616d4e0a40b4927c6ec72bd3c9b0b25fc9e8f
0x52d916c6df30e3b5b41185d99968834be6e1dd9e,SELL,24918067747661759048720135607687934209172945708698786072564741153847301974566,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,16.66,0.999,2026-01-03 12:09:57+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,Yes,0,averagejoe62,Any-Achiever,,,,0x2ab1eef5fa0fcd8a4deb176dd3d4063efeeb8ca153c71250b9350e14ab606c53
0x5a66f88fe76bb4fbaffedf904406325ef2995c09,SELL,24918067747661759048720135607687934209172945708698786072564741153847301974566,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,91.11,0.999,2026-01-03 12:09:49+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,Yes,0,josemoran276,Moral-Financing,,,,0x93c8d5e87c9b03f23d9773951378d7bb92fe12dbb9f6d5caa30a4127bd6d298a
0xfbe2d2ce3d95ba8c253042b04825e174fc03b34b,SELL,24918067747661759048720135607687934209172945708698786072564741153847301974566,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,6.15,0.999,2026-01-03 12:09:27+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,Yes,0,Mogamboo,Prudent-Advance,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3674645-2b0d825e-c5f4-40f2-9fbf-6ec4556f3c8d.jpeg,,0x7754b6b84a9c11a0a42a6d4a9e1cf8927ff751d61192768187d77f62ef7d9603
0x514ba1aee49339641313167d43e4854f5c260627,SELL,24918067747661759048720135607687934209172945708698786072564741153847301974566,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,46.9,0.999,2026-01-03 12:09:21+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,Yes,0,VendoCoins,Eager-Itinerary,,,,0x02e221557d3fa6463e89551b89d0d7d110817a76494cd33230e650c7115402db
0x2d0ef2d948e97075ebecc120b4490469c6453136,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,1000.0,0.001,2026-01-03 12:07:43+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,jonasdocfol,Frigid-Artist,,,,0xd23f462a1b1dbe50a6334239723f845ef307ce8a239197bf68c38aa570372862
0x5b8daf93bf7abdf9afc3bd3773f34edde5fe63b3,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,1000.0,0.001,2026-01-03 12:07:35+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,Kingashh,Ringed-Ceramics,,,,0x1fa56b93abe5c59bd2d9f72ac12b84ea8fbe3cb11df423153bda753a695227ef
0x9442468393577cd2581f7b76948edacfb8f85d45,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,1000.0,0.001,2026-01-03 12:07:29+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,zero.insider,Potable-Emanate,,,,0xee1eb1fdcf08251781adc7078e93d1abd50aba1dd783fb510a9014dfdddea980
0xe7eb5f24c82e3b5dbfcd856be29d7e694db01d1f,SELL,24918067747661759048720135607687934209172945708698786072564741153847301974566,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,50.0,0.999,2026-01-03 12:07:25+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,Yes,0,Chichoplez,Talkative-Guidance,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3899899-e2df8855-a89e-405e-a715-a8ff5ba53c49.jpeg,,0x9d6c047c6ebdbcbc174f3de5067439877dc563835a8b0e6d66c8020995ffe5be
0xb55fb13cadc2b122da1d3a56955ec26b4ce55705,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,18000.0,0.001,2026-01-03 12:07:03+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,swiker,Wretched-Id,,,,0xa7c681b958e62e2b23e382c8831a96794cfe98a3a564b834e38ad63373a7f8ee
0xeb109420d9cecb93e702d91a9e8dbbbfb25bfe75,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,1000.0,0.001,2026-01-03 12:05:49+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,0xeb109420d9CeCB93E702d91A9e8dbBBFb25BFE75-1761810964503,Frightened-Ant,,,,0x7a91481e399ea268138eb557eb19af4a4c0fd7b7e7d0a010baa23316fdffb979
0x53ec7e0cfa1ebcbe44a6ff134e1f2d5b42f7bf50,BUY,98590363695810976489755414330258191966783137178752226225745237702303580425394,0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,5080.0,0.001,2026-01-03 12:04:55+00:00,"Maduro out by January 31, 2026?",maduro-out-by-january-31-2026-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,maduro-out-in-2025,No,1,bibimama,Limping-Cassava,,,,0xdc60a1fdcb16689704e814cafbde3f35382019b91ec9026da94f06048ba738ba
